fecha,temperatura,ph,oxigeno,dia_semana,mes,hora,es_fin_semana
2024-01-03 15:00:00,17.8,8.28,8.59,2,1,15,0
2024-01-05 15:10:00,17.7,8.19,8.33,4,1,15,0
2024-01-08 15:00:00,18.4,8.19,6.94,0,1,15,0
2024-01-10 15:00:00,16.6,8.21,9.36,2,1,15,0
2024-01-12 15:00:00,17.6,8.22,9.26,4,1,15,0
2024-01-15 15:02:00,16.0,8.13,9.20,0,1,15,0
2024-01-16 15:00:00,16.5,8.12,9.16,1,1,15,0
2024-01-17 15:00:00,16.0,7.96,8.77,2,1,15,0
2024-01-18 15:15:00,16.5,8.15,9.45,3,1,15,0
2024-01-19 15:00:00,16.0,8.08,9.19,4,1,15,0
2024-01-20 15:00:00,14.1,8.02,9.65,5,1,15,1
2024-01-22 15:05:00,17.7,8.16,9.02,0,1,15,0
2024-01-24 15:03:00,16.7,7.95,8.49,2,1,15,0
2024-01-27 15:02:00,17.7,8.08,8.37,5,1,15,1
2024-01-29 15:30:00,18.0,8.08,8.65,0,1,15,0
2024-01-30 15:30:00,17.8,7.88,8.28,1,1,15,0
2024-01-31 15:30:00,18.8,8.21,8.56,2,1,15,0
2024-02-01 15:30:00,19.5,8.06,8.06,3,2,15,0
2024-02-02 15:31:00,19.6,8.19,8.52,4,2,15,0
2024-02-05 13:26:00,15.5,7.97,8.71,0,2,13,0
2024-02-07 15:00:00,17.1,8.04,8.27,2,2,15,0
2024-02-08 15:30:00,17.5,8.12,8.30,3,2,15,0
2024-02-09 15:00:00,18.0,8.14,8.27,4,2,15,0
2024-02-12 15:04:00,16.3,8.01,9.08,0,2,15,0
2024-02-13 15:00:00,16.3,8.05,9.35,1,2,15,0
2024-02-14 15:00:00,16.1,7.99,9.06,2,2,15,0
2024-02-15 15:05:00,16.1,7.99,8.86,3,2,15,0
2024-02-16 15:02:00,15.7,7.75,8.48,4,2,15,0
2024-02-17 15:00:00,17.1,8.04,8.73,5,2,15,1
2024-02-19 15:04:00,16.2,7.84,8.74,0,2,15,0
2024-02-20 15:04:00,17.3,7.76,8.60,1,2,15,0
2024-02-21 15:03:00,18.7,7.82,8.29,2,2,15,0
2024-02-22 15:00:00,17.9,7.83,8.07,3,2,15,0
2024-02-23 15:00:00,19.1,7.99,8.20,4,2,15,0
2024-02-24 15:00:00,17.9,7.93,8.55,5,2,15,1
2024-02-26 15:04:00,19.4,7.94,8.12,0,2,15,0
2024-02-27 15:23:00,18.9,7.91,7.59,1,2,15,0
2024-02-28 15:06:00,19.2,7.97,7.55,2,2,15,0
